hqc,source_dir,run,metric,metric_label,us
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_123236_hqc192,run1,payload_out_rpcmem-uncached,payload-out rpcmem-uncached,559.62
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_123236_hqc192,run1,payload_inout_rpcmem-uncached,payload-inout rpcmem-uncached,601.631
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_123236_hqc192,run1,decode_one,decode-one,606.971
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_123236_hqc192,run1,bench,bench batched decode,56.091
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_123632_hqc192,run1,open_close,open-close,54791.476
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_123632_hqc192,run1,ping,ping,532.564
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_123632_hqc192,run1,payload_in_malloc,payload-in malloc,599.534
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_123632_hqc192,run1,payload_out_malloc,payload-out malloc,550.579
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_123632_hqc192,run1,payload_inout_malloc,payload-inout malloc,577.568
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_123632_hqc192,run1,payload_in_rpcmem-cached,payload-in rpcmem-cached,591.851
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_123632_hqc192,run1,payload_out_rpcmem-cached,payload-out rpcmem-cached,521.354
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_123632_hqc192,run1,payload_inout_rpcmem-cached,payload-inout rpcmem-cached,587.129
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_123632_hqc192,run1,payload_in_rpcmem-uncached,payload-in rpcmem-uncached,557.628
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_123632_hqc192,run1,payload_out_rpcmem-uncached,payload-out rpcmem-uncached,520.318
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_123632_hqc192,run1,payload_inout_rpcmem-uncached,payload-inout rpcmem-uncached,593.729
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_123632_hqc192,run1,decode_one,decode-one,597.919
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_123632_hqc192,run1,bench,bench batched decode,55.911
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_124031_hqc192,run1,open_close,open-close,56482.414
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_124031_hqc192,run1,ping,ping,529.848
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_124031_hqc192,run1,payload_in_malloc,payload-in malloc,555.461
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_124031_hqc192,run1,payload_out_malloc,payload-out malloc,530.207
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_124031_hqc192,run1,payload_inout_malloc,payload-inout malloc,592.205
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_124031_hqc192,run1,payload_in_rpcmem-cached,payload-in rpcmem-cached,572.003
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_124031_hqc192,run1,payload_out_rpcmem-cached,payload-out rpcmem-cached,561.5
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_124031_hqc192,run1,payload_inout_rpcmem-cached,payload-inout rpcmem-cached,596.016
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_124031_hqc192,run1,payload_in_rpcmem-uncached,payload-in rpcmem-uncached,590.514
192,results/fastrpc_overhead_current_cloud2_chunks/20260530_124031_hqc192,run1,payload_out_rpcmem-uncached,payload-out rpcmem-uncached,565.3
